0	Working as a Butcher and Meat Processor for 2 years. Comfortable with Food Production, Physical Strength and Sales and Marketing. Holds a high school diploma in engineering. Located in Gyeonggi and open to nearby roles.
1	1 year of hands-on work as a Road and Rail Transport Clerk. Comfortable with Transportation and Clerical. Educational background: a bachelor's degree in social sciences. Based in Busan.
2	3 years of hands-on work as a Production and Quality Control Clerk. Colleagues point to Monitoring, Programming and Quality Control Analysis as my strengths. Holds a bachelor's degree in social sciences. Located in Busan and open to nearby roles.
3	Mid-level Product Planning Specialist with 3 years of experience. Most of the role rests on Persuasion, Originality, Administration and Management and Deductive Reasoning. Educational background: a bachelor's degree in engineering. Also holds a relevant national certificate.
4	Working as a International Sales Representative for 4 years. Colleagues point to Speaking, Memorization and Social Perceptiveness as my strengths. Holds a bachelor's degree in social sciences. Certified with a national professional licence.
5	I have spent 2 years working as a Prosthetics and Orthotics Technician. Strongest areas are Design, Equipment Selection and Engineering and Technology. Educational background: an associate degree in health sciences. Currently working in Incheon.
6	4 years of hands-on work as a Ship Maintenance Technician. Comfortable with Troubleshooting, Flexibility and Balance, Mechanical and Equipment Maintenance. Educational background: an associate degree in engineering. Also holds a Craftsman certificate.
7	Educational background: a high school diploma in social sciences. Working as a Mobile Device and Telecom Sales Representative for 5 years. Comfortable with Negotiation, Social Perceptiveness, Sales and Marketing and Transportation. A relevant national certificate on record.
8	Special Education Teacher. Mid-level practitioner, 4 years in role. Most of the role rests on Auditory Attention and Learning Strategies. A bachelor's degree in education. A national professional licence on record.
9	3 years of hands-on work as a Water and Wastewater Treatment Plant Operator. Strongest areas are Operation and Control, Operation Monitoring and Mechanical. Holds an associate degree in natural sciences. Currently working in Sejong.
10	Mid-level Lift Installer and Maintenance Technician with 4 years of experience. Core competencies: Installation, Troubleshooting, Equipment Selection and Operation Monitoring. Studied engineering, an associate degree. Certified with an Industrial Engineer certificate. Currently working in Incheon.
11	Educational background: a bachelor's degree in engineering. I have spent 2 years working as a Power Plant Engineer. Day-to-day work draws on Operation and Control and Equipment Maintenance. An industrial engineer certificate on record. Located in Seoul and open to nearby roles.
12	Prosecutor based in Gyeonggi, 3 years in the field. Core competencies: Deductive Reasoning, Selective Attention and Reading Comprehension. Holds a bachelor's degree in social sciences.
13	A doctoral degree in engineering. Working as a Renewable Energy Testing Technician for 3 years. Colleagues point to Technology Design, Troubleshooting and Number Facility as my strengths. Currently working in Gyeonggi.
14	Insurance Claims Examiner. Experienced practitioner, 8 years in role. Most of the role rests on Negotiation, Law and Government and Judgment and Decision Making. Holds a master's degree in humanities. Located in Busan and open to nearby roles.
15	Educational background: a bachelor's degree in natural sciences. Experienced Credit Analyst with 7 years of experience. Day-to-day work draws on Administration and Management, Judgment and Decision Making and Category Flexibility. An accredited professional certification on record. Currently working in Gyeonggi.
16	I have spent under a year working as a Grain Processing Machine Operator. Comfortable with Reaction Time and Speed, Equipment Selection and Flexibility and Balance. Educational background: a bachelor's degree in natural sciences. Located in Seoul and open to nearby roles.
17	Veterinary Assistant. Mid-level practitioner, 5 years in role. Colleagues point to Medicine and Dentistry, Biology, Visual Acuity and Control Precision as my strengths. Studied natural sciences, a bachelor's degree. Also holds a relevant national certificate. Currently working in North Chungcheong.
18	Youth Development Worker based in Seoul, 4 years in the field. Core competencies: Education and Training, Fine Arts, Active Listening and Coordination. Studied engineering, a bachelor's degree.
19	Concrete Worker. Mid-level practitioner, 3 years in role. Colleagues point to Mechanical, Building and Construction and Control Precision as my strengths. Educational background: a bachelor's degree in social sciences. Currently working in Ulsan.
20	Holds an associate degree in engineering. Working as a Professional Gamer for 8 years. Strongest areas are Monitoring, Memorization, Reaction Time and Speed and Originality. Currently working in Gyeonggi.
21	1 year of hands-on work as a Grain Processing Machine Operator. Day-to-day work draws on Mechanical, Troubleshooting, Visual Acuity and Food Production. Educational background: a bachelor's degree in engineering. A craftsman certificate on record. Currently working in Seoul.
22	Educational background: a high school diploma in humanities. Early-career Metal Machine Tool Operator with 2 years of experience. Colleagues point to Mechanical, Control Precision, Equipment Maintenance and Flexibility and Balance as my strengths.
23	I have spent 6 years working as a Korean Traditional Musician. Core competencies: Fine Arts and Auditory Attention. Studied arts and physical education, a bachelor's degree. Currently working in Gyeonggi.
24	Educational background: a bachelor's degree in social sciences. Working as a Social Worker for 1 year. Strongest areas are Negotiation and Learning Strategies.
25	Grain Crop Grower based in Seoul, 4 years in the field. Core competencies: Biology and Food Production. Studied engineering, a high school diploma. Also holds an Industrial Engineer certificate.
26	Holds an associate degree in humanities. I have spent 2 years working as a Postal Delivery Worker. Day-to-day work draws on Control Precision, Reaction Time and Speed, Physical Strength and Spatial Orientation. Certified with a national professional licence. Located in Seoul and open to nearby roles.
27	Working as a Fruit and Vegetable Processing Machine Operator for 2 years. Most of the role rests on Physical Strength and Troubleshooting. Educational background: a bachelor's degree in humanities. Located in Seoul and open to nearby roles.
28	A bachelor's degree in humanities. 3 years of hands-on work as a Road and Rail Transport Clerk. Day-to-day work draws on Transportation, Clerical, Programming and Mathematics. Located in Daegu and open to nearby roles.
29	Early-career Clay Products Machine Operator with 2 years of experience. Strongest areas are Management of Material Resources, Troubleshooting, Reaction Time and Speed and Technology Design. Studied engineering, a high school diploma.
30	Cleaner based in Gyeonggi, 9 years in the field. Most of the role rests on Physical Strength and Customer and Personal Service. Educational background: secondary education in engineering.
31	Educational background: an associate degree in humanities. Publishing and Editorial Clerk. Experienced practitioner, 8 years in role. Colleagues point to Reading Comprehension, Native Language, Learning Strategies and Writing as my strengths.
32	Korean Cuisine Chef. Senior practitioner, 11 years in role. Strongest areas are Physical Strength, Food Production, Visual Acuity and Flexibility and Balance. Studied humanities, an associate degree. Based in Gyeonggi.
33	Ticket and Lottery Seller based in Seoul, 3 years in the field. Most of the role rests on Customer and Personal Service, Therapy and Counseling, Mathematics and History and Archeology. Educational background: a high school diploma in humanities.
34	Holds a bachelor's degree in social sciences. I have spent 5 years working as a Social Welfare Manager. Day-to-day work draws on Service Orientation and Therapy and Counseling. Based in Gyeonggi.
35	Publishing Editor. Early-career practitioner, 2 years in role. Core competencies: Originality, Persuasion, Social Perceptiveness and Reading Comprehension. Educational background: a bachelor's degree in humanities. Also holds a Craftsman certificate.
36	Experienced Welder with 8 years of experience. Strongest areas are Control Precision, Reaction Time and Speed and Visual Acuity. Studied engineering, a high school diploma. Located in Gyeonggi and open to nearby roles.
37	Studied engineering, a master's degree. 3 years of hands-on work as a Cosmetics and Detergent Chemical Engineer. Comfortable with Chemistry and Technology Analysis.
38	8 years of hands-on work as a Magazine Reporter. Strongest areas are Category Flexibility, Native Language, Sociology and Anthropology and Reading Comprehension. Studied social sciences, a bachelor's degree. Based in Seoul.
39	Educational background: a bachelor's degree in engineering. I have spent 2 years working as a Optician. Most of the role rests on Visual Acuity, Equipment Maintenance, Service Orientation and Sales and Marketing. Certified with a national professional licence.
40	Noise and Vibration Engineer. Mid-level practitioner, 4 years in role. Most of the role rests on Operation and Control and Auditory Attention. Educational background: a bachelor's degree in natural sciences. Also holds a Professional Engineer licence. Located in Seoul and open to nearby roles.
41	Working as a Hanbok Maker for 2 years. Colleagues point to Visual Acuity and Finger Dexterity as my strengths. Secondary education in arts and physical education. Certified with an Industrial Engineer certificate.
42	Metal Machine Tool Operator based in Busan, 4 years in the field. Day-to-day work draws on Operation and Control and Troubleshooting. An associate degree in engineering. A craftsman certificate on record.
43	Early-career Logistics and Materials Clerk with 1 year of experience. Core competencies: Negotiation, Judgment and Decision Making and Category Flexibility. Educational background: a bachelor's degree in social sciences. Also holds a national professional licence.
44	Holds a high school diploma in humanities. I have spent 2 years working as a Forestry Manager and Logger. Strongest areas are Physical Strength, Biology and Flexibility and Balance. Based in Daegu.
45	Early-career Cable Installation and Repair Technician with 2 years of experience. Day-to-day work draws on Telecommunications and Troubleshooting. An associate degree in engineering. Also holds an Industrial Engineer certificate. Currently working in North Chungcheong.
46	A bachelor's degree in natural sciences. I have spent 12 years working as a Chemical Engineering Laboratory Technician. Most of the role rests on Deductive Reasoning, Chemistry and Complex Problem Solving.
47	Industrial Painting Machine Operator based in South Gyeongsang, 4 years in the field. Day-to-day work draws on Control Precision and Equipment Selection. Studied engineering, a bachelor's degree. Certified with a Professional Engineer licence.
48	A bachelor's degree in social sciences. Working as a Internal Audit Clerk for 11 years. Core competencies: Inductive Reasoning, Law and Government, Systems Analysis and Evaluation and Reading Comprehension.
49	Experienced Aquaculture Worker with 10 years of experience. Comfortable with Operation Monitoring, Biology, Physical Strength and Food Production. A high school diploma in humanities.
50	6 years of hands-on work as a Street and Mobile Vendor. Most of the role rests on Service Orientation, Transportation and Food Production. Studied humanities, a high school diploma. Based in Gyeonggi.
51	Studied education, a high school diploma. Working as a Meter Reader and Gas Inspector for 3 years. Colleagues point to Visual Acuity, Operation Monitoring, Quality Control Analysis and Equipment Maintenance as my strengths. Currently working in Gyeonggi.
52	2 years of hands-on work as a General Administrative Officer. Colleagues point to Native Language and Law and Government as my strengths. Educational background: a master's degree in social sciences. Certified with an accredited professional certification. Currently working in Gyeonggi.
53	Water and Wastewater Treatment Plant Operator based in Seoul, 2 years in the field. Comfortable with Operation and Control, Chemistry, Operation Monitoring and Administration and Management. Studied engineering, an associate degree. A national professional licence on record.
54	18 years of hands-on work as a Transport Operations Manager. Comfortable with Law and Government, Clerical, Geography and Management of Financial Resources. Educational background: a master's degree in humanities.
55	Mid-level Landscape Engineer with 6 years of experience. Day-to-day work draws on Management of Material Resources and Spatial Orientation. Studied engineering, a bachelor's degree. Currently working in Seoul.
56	I have spent 8 years working as a Financial Product Developer. Core competencies: Writing, Learning Strategies and Deductive Reasoning. Holds a master's degree in humanities. Certified with a relevant national certificate. Located in Daegu and open to nearby roles.
57	I have spent 8 years working as a Railway Rolling Stock Technician. Most of the role rests on Finger Dexterity and Equipment Maintenance. Educational background: a bachelor's degree in engineering.
58	Information Security Specialist. Mid-level practitioner, 4 years in role. Strongest areas are Technology Design, Computers and Electronics and Learning Strategies. Holds a master's degree in engineering. Based in Daegu.
59	Working as a Garment and Leather Repairer for 9 years. Most of the role rests on Visual Acuity, Technology Design and Design. Studied humanities, a bachelor's degree. A craftsman certificate on record.
60	I have spent 3 years working as a Commodity Broker and Auctioneer. Strongest areas are Negotiation, Auditory Attention, Reaction Time and Speed and Management of Financial Resources. An associate degree in humanities. Also holds a national professional licence. Currently working in Incheon.
61	Public Administration Specialist. Early-career practitioner, 2 years in role. Colleagues point to Reading Comprehension, Judgment and Decision Making, Clerical and Negotiation as my strengths. Studied social sciences, a bachelor's degree.
62	22 years of hands-on work as a Government Administration Manager. Day-to-day work draws on Negotiation and Social Perceptiveness. Holds a master's degree in social sciences. Based in Gyeonggi.
63	Certified Public Accountant. Mid-level practitioner, 4 years in role. Core competencies: Economics and Accounting and Number Facility. A bachelor's degree in social sciences.
