sid_prefix,collision_group_size,dedup_last,item_id,asin,item_text
37-177-177-18,18,0,8879,B006GQ9G34,"REVLON Colorburst Lip Butter, Creamsicle, 0.09 Ounce Revlon Color burst lip butter combines beautiful color with a buttery balm to give you baby soft, healthy glowing lips. It has a pampering gel formula which glides on lips buttery smooth and instantly hydrates lips. Makeup Beauty Lipstick Lips"
37-177-177-18,18,1,8880,B006GQB6BE,"REVLON Colorburst Lip Butter, Sugar Plum, 0.09 Ounce Revlon Color burst lip butter combines beautiful color with a buttery balm to give you baby soft, healthy glowing lips. It has a pampering gel formula which glides on lips buttery smooth and instantly hydrates lips. Makeup Beauty Lipstick Lips"
37-177-177-18,18,2,8881,B006GQCMJO,"REVLON Colorburst Lip Butter, Fig Jam, 0.09 Ounce Revlon Color burst lip butter combines beautiful color with a buttery balm to give you baby soft, healthy glowing lips. It has a pampering gel formula which glides on lips buttery smooth and instantly hydrates lips. Makeup Beauty Lipstick Lips"
37-177-177-18,18,3,8882,B006GQE27E,"REVLON Colorburst Lip Butter, Candy Apple, 0.09 Ounce Revlon Color burst lip butter combines beautiful color with a buttery balm to give you baby soft, healthy glowing lips. It has a pampering gel formula which glides on lips buttery smooth and instantly hydrates lips. Makeup Beauty Lipstick Lips"
37-177-177-18,18,4,8883,B006GQEI0A,"REVLON Colorburst Lip Butter, Sweet Tart, 0.09 Ounce Revlon Color burst lip butter combines beautiful color with a buttery balm to give you baby soft, healthy glowing lips. It has a pampering gel formula which glides on lips buttery smooth and instantly hydrates lips. Makeup Beauty Lipstick Lips"
37-177-177-18,18,5,8884,B006GQEWEC,"REVLON Colorburst Lip Butter, Raspberry Pie, 0.09 Ounce Revlon Color burst lip butter combines beautiful color with a buttery balm to give you baby soft, healthy glowing lips. It has a pampering gel formula which glides on lips buttery smooth and instantly hydrates lips. Makeup Beauty Lipstick Lips"
37-177-177-18,18,6,8885,B006GQFHYG,"REVLON Colorburst Lip Butter, Red Velvet, 0.09 Ounce Revlon Color burst lip butter combines beautiful color with a buttery balm to give you baby soft, healthy glowing lips. It has a pampering gel formula which glides on lips buttery smooth and instantly hydrates lips. Makeup Beauty Lipstick Lips"
37-177-177-18,18,7,8886,B006GQG9GQ,"REVLON Colorburst Lip Butter, Pink Truffle, 0.09 Ounce Revlon Color burst lip butter combines beautiful color with a buttery balm to give you baby soft, healthy glowing lips. It has a pampering gel formula which glides on lips buttery smooth and instantly hydrates lips. Makeup Beauty Lipstick Lips"
37-177-177-18,18,8,8887,B006GQH096,"REVLON Colorburst Lip Butter, Lollipop, 0.09 Ounce Revlon Color burst lip butter combines beautiful color with a buttery balm to give you baby soft, healthy glowing lips. It has a pampering gel formula which glides on lips buttery smooth and instantly hydrates lips. Makeup Beauty Lipstick Lips"
37-177-177-18,18,9,8888,B006GQHYW4,"REVLON Colorburst Lip Butter, Cotton Candy, 0.09 Ounce Revlon Color burst lip butter combines beautiful color with a buttery balm to give you baby soft, healthy glowing lips. It has a pampering gel formula which glides on lips buttery smooth and instantly hydrates lips. Makeup Beauty Lipstick Lips"
